sensor_id,tipo,promedio,minimo,maximo,timestamp
sensor-001,presion,694.2095494674533,584.2617931034483,1000.7103703703704,2025-07-03 13:54:22.374320
sensor-003,presion,453.6084467332512,29.15,514.202987012987,2025-07-03 13:54:22.374320
sensor-005,temperatura,472.78661586284755,370.24,593.026923076923,2025-07-03 13:54:22.374320
sensor-003,temperatura,586.7433662625805,522.911914893617,906.3475,2025-07-03 13:54:22.374320
sensor-002,humedad,452.6047458205353,232.62375,550.85,2025-07-03 13:54:22.374320
sensor-001,temperatura,315.7502716056404,24.5,411.8508130081301,2025-07-03 13:54:22.374320
sensor-002,presion,496.9038762371035,389.97,621.2133333333334,2025-07-03 13:54:22.374320
sensor-002,temperatura,515.84921839703,470.99636363636364,598.775,2025-07-03 13:54:22.374320
sensor-004,presion,507.7370541397178,315.916,595.3935714285715,2025-07-03 13:54:22.374320
sensor-005,humedad,479.4440190799122,78.38,524.1525,2025-07-03 13:54:22.374320
sensor-003,luminosidad,489.88910098699023,379.3107142857143,706.0633333333334,2025-07-03 13:54:22.374320
sensor-003,humedad,421.87407943664607,158.52,482.2630357142857,2025-07-03 13:54:22.374320
sensor-001,luminosidad,532.2694079673735,516.9551162790698,566.1361538461539,2025-07-03 13:54:22.374320
sensor-002,luminosidad,505.0282428186314,49.57,554.3083823529412,2025-07-03 13:54:22.374320
sensor-005,presion,440.91564282494187,370.19875,750.2266666666666,2025-07-03 13:54:22.374320
sensor-004,luminosidad,442.06633588026915,187.89499999999998,507.7178181818182,2025-07-03 13:54:22.374320
sensor-005,luminosidad,480.6572536874214,53.54,525.2348000000001,2025-07-03 13:54:22.374320
sensor-004,humedad,558.3919710205572,507.26,720.4633333333333,2025-07-03 13:54:22.374320
sensor-001,humedad,309.0600901093674,53.13708333333333,412.11151515151516,2025-07-03 13:54:22.374320
sensor-004,temperatura,518.4137158043889,359.212,847.35,2025-07-03 13:54:22.374320
